Over and Over,218
One Night to Bangkok,219
Only the Lonely,221
Our Day Will Come,221
People Got to Be Free,222
Only You and You Alone,223
Over the Mountain Across The Sea,223
Put Your Head on My Shoulder,224
Philadelphia Freedom,225
Pictures of Matchstick Men,226
Pipeline,227
Pony Time,227
Please Please Me,228
Poetry in Motion,229
Poor Side of Town,229
Poison Ivy,230
Problems,231
Puppy Love,231
Raindrops,232
Private Eyes,233
Quarter to Three,234
Raunchy,235
Rebel Rouser,235
Return to Sender,236
Reflex,237
Rockin’ Robin,238
Rip it Up,239
Running Bear,239
Rocket Man,240
Rock Around the Clock,241
Rubber Ball,241
Rock Island Line,243
Ruby Baby,243
Ruby Don t Take Your Love to Town,244
Rock and Roll is Here to Stay,245
Runaway,246
Susie Q,246
Sad Songs Say So Much,247
She's Some Kind of Wonderful,248
San Francisco Be Sure to Wear Some Flowers,249
Sara,250
Say Say Say,251
Shambala,252
Save the Last Dance for Me,253
Schools Out,254
Sixteen Tons,254
Sea of Love,255
Searchin’,255
She Loves You,256
Seasons in the Sun,257
See You Later Alligator,257
Since I Met My Baby,258
Secret Agent Man,259
She Bop,260
Shadow Dancing,261
She'd Rather Be With Me,261
Shame on the Moon,262
She's a Lady,263
Silhouettes,263
Skinny Legs and All,264
Sincerely,265
Sleepwalk (pop book),265
Singing the Blues,266
Stand by Me,266
Sister Christian,267
Sixteen Candles,267
Sloop John B,268
Sixteen Reasons,269
Smoke from a Distant Fire,269
Smile a Little Smile for Me,271
Stayin’ Alive,271
Summer in the City,272
So Sad To Watch Good Love Go Bad,273
Stray Cat Strut,273
Spanish Harlem,274
Son Sung Blue,275
Sweet Little Sixteen,275
The Stroll,276
South Street,277
Spirit in the Sky,277
Suspicion,278
Stuck in the Middle with You,279
Sweet Caroline,280
Superstar (Jesus Christ),281
Sunshine of Your Love,282
Stay,283
Sweet Home Alabama,283
Surfin’ USA,284
Sugar Shack,285
Summertime Blues,285
Tutti Frutti,286
Take a Chance on Me,287
Take a Letter Maria,287
Teenager in Love,288
Tears on My Pillo,289
Tell it like it Is,289
These Boots are Made for Walking,290
Teen Angel,291
Then You Can Tell Me Goodbye,291
Teddy Bear,292
The Twist,292
Tell Laura I Love Her,293
There Goes My Baby,293
Tom Dooley,294
There'll Be Sad Songs To Make You Cry,295
There’s a Moon out Tonight,296
These Dreams,297
Things,298
This Diamond Ring,299
Those Were The Days,299
Tossin’ and Turnin’,300
Time After Time,301
Tired of Toein The Line,302
To Know Him is to Love Him,303
Tobacco Road,303
Turn Me Loose,304
Total Eclipse of the Heart,305
Tragedy,307
Two Faces Have I,307
Turn Turn Turn,309
Under the Boardwalk,309
Up Up and Away,310
Union of the Snake,311
Wake Me Up Before you Go Go,311
Wayward Wind,312
Valotte,313
Whats Love Got to Do with It,314
Wah Watusi,315
Which Way You Going Billy?,315
Wake Up Little Susie,316
Walk Away Renee,317
Wooly Bully,317
What You Need,318
We Built This City,319
Wild Boys,320
Way Down Yonder in New Orleans,321
What I'd Say,321
Women In Love,322
Waterloo,323
You Can't Sit Down,323
You Don't Bring Me Flowers,324
Who's Johnny,325
Wonderful Wonderful,326
Whole Lotta Shakin Going On,327
Yakety Yak,327
Yesterday,328
You're the One That I Want,328
Yes I'm Ready,329
You Baby,329
You Don't Own Me,330
White Room,331
Whiter Shade of Pale,331
Young Blood,332
You Give Good Love,333
You Should be Dancing,333
You're the Devil in Disguise,334
Your Song,335
