Affirmation,16,
Airegin,17,

# These two are missing from the scan:    ,,
# All Of Me,18,
# All The Things You Are,19,

All Or Nothing At All,444,
Always There,18,
Ana Maria,20,
Angel Eyes,22,
Anthropology,24,
Autumn Leaves,25,
Baby I Love You,26,
Basin Street Blues,28,
Beautiful Love,29,
Bernie's Tune,30,
Bird Food,31,
Black Ice,32,
Black Narcissus,34,
Blame It On My Youth,35,
Blizzard Of Lies,36,
Blue Bossa,38,
Blue Daniel,39,
Blues Connotation,40,
Blues On The Corner,41,41
# 1st page of Boogie Down,42,
# Blues on the Corner,43,
Boogie Down,44,48
Both Sides Of The Coin,50,
Bouncin' With Bud,52,
Breakfast Wine,54,
Breakin' Away,56,
But Beautiful,59,
Chain Of Fools,60,
Change Of Mind,62,
Chega De Saudade,64,
Chelsea Bridge,66,
Come Sunday,67,
Compared To What,68,
photo of Airto Moreira,70,
Creek,71,
Crystal,72,
Cubano Chant,74,
Darn That Dream,76,
Dearly Beloved,77,
Delevans,78,
Desafinado,80,
Desire,82,
photo of Miles Davis,84,
Dig,85,
Dindi,86,
photo of Mark Murphy,88,
Do Nothing 'Til You Hear From Me,446,
Don't Get Around Much Anymore,447,
Don't Go To Strangers,89,
Doors,90,
E.S.P.,105,
Early Autumn,91,
Easy,92,
Eighty One,94,
Elm,96,
Endangered Species,98,102
Everything Happens To Me,106,
Fall,108,
Farmers Market,109,
Favela,110,
Feel Like Makin' Love,111,
Fire,112,
First Light,113,
Foolkiller,114,
Footprints,115,
Four Brothers,118,
Four On Six,119,
Four,116,
Friends And Strangers,120,
photo of Bill Evans,122,
Funkallero,123,
Gaviota,124,
photo of Louis Armstrong & Carmen McCrae,126,
Gee Baby Ain't I Good To You,127,
Gemini,128,
Giaruja,144,
Gloria's Step,133,
Goin' Home,134,
photo of Jim Hall,138,
Gone With The Wind,139,
Good Morning Heartache,448,
Hallucinations,146,
photo of Duke Ellington,148,
Haunted Ballroom,149,
Havona,150,151
photo of Sarah Vaughan,152,
Here's That Rainy Day,153,
Hideaway,154,
photo of Ornette,156,
I Love Lucy,157,
I Should Care,160,
I Thought About You,161,
I'm All Smiles,168,
If I Were A Bell,162,
photo of Antonio Carlos Jobim,164,
If You Never Come To Me,165,
I'll Take Romance,166,
I'm Old Fashioned,170,
Imagination,171,
photo of Monk and Dizzy,172,
In Walked Bud,173,
It Happens Every Day,176,
photo of Lester Young,178,
Jersey Bounce,179,
Joshua,180,
Keep That Same Old Feeling,182,
"photo of Sarah Vaughan, Roberta Flack & Aretha Franklin",184,
Killing Me Softly With His Song,185,
La Samba,186,
La Vida Feliz,188,
Lady Bird,192,
Last First,194,
Last Train From Overbrook,196,
Laurie,197,
Let Me Be The One,198,
Let's Go Dancin',200,
