When Your Lover Has Gone,516
Where Or When,518
Who Cares?,520
Why Try To Change Me Now?,522
With A Song In My Heart,524
You And The Night And The Music,526
You Are There,528
You Are Too Beautiful,530
You Do Something To Me,532
You Go To My Head,534
You Make Me Feel Brand New,536
You Make Me Feel So Young,538
You Took Advantage Of Me,542
You'd Be So Nice To Come Home To,544
You'll Never Know,546
You're The Top,548
Your Is My Heart Alone,550
